"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/29/2020","AirNow","160850002","4","11.4","ug/m3 LC","48","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/30/2020","AirNow","160850002","4","3.1","ug/m3 LC","13","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/31/2020","AirNow","160850002","4","3","ug/m3 LC","13","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/01/2020","AirNow","160850002","4","1.4","ug/m3 LC","6","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/02/2020","AirNow","160850002","4","4.8","ug/m3 LC","20","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/03/2020","AirNow","160850002","4","9.2","ug/m3 LC","38","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/04/2020","AirNow","160850002","4","5.3","ug/m3 LC","22","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/05/2020","AirNow","160850002","4","16.4","ug/m3 LC","60","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/06/2020","AirNow","160850002","4","23.3","ug/m3 LC","75","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/07/2020","AirNow","160850002","4","8.6","ug/m3 LC","36","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/08/2020","AirNow","160850002","4","6.4","ug/m3 LC","27","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/09/2020","AirNow","160850002","4","14.1","ug/m3 LC","55","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/10/2020","AirNow","160850002","4","21.7","ug/m3 LC","71","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/11/2020","AirNow","160850002","4","25.9","ug/m3 LC","80","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/12/2020","AirNow","160850002","4","41","ug/m3 LC","115","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"09/13/2020","AirNow","160850002","4","135.3","ug/m3 LC","192","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
